FLIGHT_ID,P64: Duration of Takeoff (Seconds),P64: True Airspeed at Liftoff (knots),N1_liftoff,LIFTOFF,HEAD_WIND_KNOTS_during_stated_takeoff_ground_roll,FLAP_POSITION_DEGREES_during_stated_takeoff_ground_roll,FLAP_POSITION_DEGREES_std_during_stated_takeoff_ground_roll,ACTYPE,TAKEOFF_GROUND_ROLL_DISTANCE_STATED_(FEET),HEAD_WIND_KNOTS_TWENTY_POINT_LAGGING_AVERAGE,RUNWAY_CALCULATED_GRADIENT_degraded,GROSS_WEIGHT_KILOGRAMS_rollstart,FLAP_POSITION_DEGREES,MSL_ALT_degraded,AIR_TEMP_OUTSIDE_CELSIUS,N1_during_stated_takeoff_ground_roll
1001880,42.375,157.3125,88.453125,1,1.5166039523809525,14.25,0.0,A330-2_4PW067,6044.058247038902,0.31663255,0.0,216073.574234,14.25,700.0,0.75,87.96651785714286
1001898,51.125,157.1875,89.398438,1,5.771790156862744,22.25,0.0,A340-3_2CM015,7210.4319238243215,4.59203285,-0.0,237584.21843,22.25,0.0,16.75,90.10784335294117
1001900,37.0,154.0625,86.1875,1,10.023989189189189,14.25,0.0,A330-2_4PW067,4445.170659314766,13.4218105,0.0,194471.586044,14.25,100.0,2.75,85.06967905405405
1002395,63.25,178.625,100.0625,1,1.7616536825396827,22.25,0.0,A340-3_2CM015,10935.117770164465,0.4766326,0.0,254476.237,22.25,5600.0,23.75,101.14595758730158
1002404,52.75,162.3125,96.15625,1,-0.4776881509433963,22.25,0.0,A340-3_2CM015,7878.774282497628,-1.8675458,-0.0,270117.411987,22.25,100.0,14.0,97.07488233962265
1002410,38.375,145.375,87.742188,1,5.586152526315789,22.25,0.0,A340-3_2CM015,5260.86780131571,6.0540505,-0.0,204892.593597,22.25,200.0,17.0,88.07195747368421
1003126,50.5,152.0625,89.554688,1,-3.03230836,22.25,0.0,A340-3_2CM015,7635.29003490055,-6.01827375,-0.0,229574.018631,22.25,1400.0,9.75,89.82312522000001
1003127,41.0,145.0,85.960938,1,9.05755543902439,22.25,0.0,A340-3_2CM015,4863.244075376898,12.1650049,0.0,208691.426819,22.25,100.0,5.25,85.65148653658537
1003166,45.25,162.5,89.59375,1,-2.4866275555555557,14.25,0.0,A330-2_4PW067,7113.98415129371,-4.02775735,-0.0,208534.253174,14.25,1400.0,9.5,88.70451388888888
1003167,40.5,158.1875,89.0625,1,1.0922293,14.25,0.0,A330-2_4PW067,5529.801044641195,2.04493595,0.0,211563.221176,14.25,200.0,6.0,88.07109375
1003307,43.0,158.125,82.46875,1,-0.18175737209302326,14.25,0.0,A330-3_4PW067,6493.918099987689,-0.61575315,0.0,199365.432739,14.25,1400.0,8.0,80.38226744186046
1003308,41.375,159.0,81.34375,1,0.23569778048780485,14.25,0.0,A330-3_4PW067,6308.9393443894405,0.5872762,0.0,207945.534332,14.25,0.0,5.0,80.06974085365853
1003309,45.125,175.6875,88.703125,1,-0.12391644444444445,14.25,0.0,A330-3_4PW067,7588.321772319049,-0.5245179,-0.0,230904.554962,14.25,1400.0,8.5,87.09305555555555
1003311,54.25,161.9375,93.9375,1,-1.7521514999999999,22.25,0.0,A340-3_2CM015,8556.615515633632,-3.6371698,-0.0,257889.882385,22.25,1400.0,9.5,94.83261018518517
1003312,50.375,165.25,95.640625,1,6.01024352,22.25,0.0,A340-3_2CM015,7453.211582724239,6.0868546,-0.0,265951.85968,22.25,100.0,13.75,97.06234402
1003317,46.75,168.0,84.625,1,-0.31052848936170213,14.25,0.0,A330-3_4PW067,7943.905537191731,-1.17122955,-0.0,215154.59729,14.25,1400.0,6.25,82.93783244680851
1003318,43.0,174.1875,90.203125,1,0.1250533023255814,14.25,0.0,A330-3_4PW067,6755.401758201858,0.36885285,-0.0,233679.951019,14.25,0.0,25.5,88.109375
1003320,35.375,146.0,78.515625,1,0.07322371428571428,14.25,0.0,A330-3_4PW067,5111.30974427234,0.08749545,0.0,158444.740494,14.25,0.0,22.75,76.71473214285714
